season,team,conference,total_wins,total_losses,sp_rating,sp_rank,talent_top40,talent_top40_rank,bcr,bcr_rank,bluechips,bluechips_rank,roster_n,proven_vets,proven_vets_rank,returning_prod,returning_prod_rank,dev_total,dev_total_rank,achievement,achievement_rank,ach_offense,ach_defense,stale_2026_roster
2016,Michigan,Big Ten,10.0,3.0,24.4,6.0,32.0851,1.0,0.1259,3.0,18,1.0,143,,,,,762.9192719207385,9.0,5.64,43.0,-1.57,6.94,False
2016,Alabama,SEC,14.0,1.0,31.7,1.0,29.316899999999997,2.0,0.1163,7.0,15,4.0,129,,,,,779.8141034869947,7.0,15.86,12.0,4.73,11.18,False
2016,Stanford,ACC,10.0,3.0,16.4,13.0,27.854800000000004,3.0,0.0865,18.0,9,18.0,104,,,,,522.2023366462874,62.0,2.1,58.0,-3.48,3.2,False
2016,South Carolina,SEC,6.0,7.0,-4.0,85.0,25.769199999999998,4.0,0.0598,21.0,7,21.0,117,,,,,659.2047906286202,34.0,-16.1,116.0,-11.15,-5.49,False
2016,Texas,SEC,5.0,7.0,10.6,36.0,25.265200000000004,5.0,0.1333,2.0,16,3.0,120,,,,,592.6209043190503,51.0,-0.96,72.0,3.75,-4.47,False
2016,Notre Dame,FBS Independents,4.0,8.0,15.7,18.0,24.959200000000003,6.0,0.1026,12.0,12,11.0,117,,,,,,,4.46,48.0,5.87,-0.68,False
2016,Georgia,SEC,8.0,5.0,9.3,42.0,24.4357,7.0,0.1145,8.0,15,4.0,131,,,,,492.12531810317034,68.0,-1.39,73.0,-5.32,5.25,False
2016,Miami,ACC,9.0,4.0,18.6,12.0,23.7216,8.0,0.0965,14.0,11,12.0,114,,,,,811.6872955319058,4.0,8.66,30.0,1.07,6.0,False
2016,Illinois,Big Ten,3.0,9.0,-6.7,94.0,23.4846,9.0,0.04,30.0,4,29.0,100,,,,,660.170582511182,33.0,-16.39,118.0,-10.24,-6.05,False
2016,Georgia Tech,ACC,9.0,4.0,7.8,48.0,23.302300000000002,10.0,0.036,36.0,4,29.0,111,,,,,438.92790230720425,73.0,-1.69,74.0,2.13,-4.94,False
2016,Auburn,SEC,8.0,5.0,15.3,21.0,23.281699999999997,11.0,0.0917,16.0,11,12.0,120,,,,,609.7024992460313,45.0,5.83,42.0,-0.76,5.18,False
2016,Army,American Athletic,8.0,5.0,-9.9,102.0,22.4917,12.0,0.013,79.0,2,57.0,154,,,,,,,-18.54,124.0,-10.34,-5.13,False
2016,Arkansas,SEC,7.0,6.0,7.9,47.0,22.357499999999998,13.0,0.0484,24.0,6,24.0,124,,,,,673.760556478689,25.0,-0.6,67.0,3.71,-4.74,False
2016,Ohio State,Big Ten,11.0,2.0,22.4,10.0,22.1626,14.0,0.1525,1.0,18,1.0,118,,,,,663.9681055741787,31.0,14.11,16.0,3.19,9.28,False
2016,UCLA,Big Ten,4.0,8.0,9.1,44.0,22.1542,15.0,0.0991,13.0,11,12.0,111,,,,,687.0601125699983,22.0,0.82,62.0,-4.91,6.99,False
